Date,Open,High,Low,Close
2005/4/4,6013.700195,6048.370117,6006.299805,6019.930176
2005/4/6,6025.290039,6046.160156,6006.810059,6013.490234
2005/4/7,6032.009766,6043.100098,5971.759766,5971.759766
2005/4/8,6002.350098,6028.549805,5997.290039,6024.069824
2005/4/11,6021.330078,6021.330078,5969.399902,5979.419922
2005/4/12,5974.709961,5995.930176,5955.240234,5993.890137
2005/4/13,6004.490234,6008.600098,5990.200195,5998.080078
2005/4/14,5966.839844,5994.990234,5964.330078,5976.680176
2005/4/15,5946.200195,5946.200195,5875.669922,5888.370117
2005/4/18,5809.759766,5809.759766,5679.350098,5715.160156
2005/4/19,5736.970215,5773.319824,5726.959961,5748.350098
2005/4/20,5799.850098,5799.850098,5683,5693.009766
2005/4/21,5565.410156,5725.47998,5565.410156,5721.990234
2005/4/22,5777.490234,5799.72998,5741.490234,5747.089844
2005/4/25,5753.240234,5771.379883,5727.419922,5758.310059
2005/4/26,5773.77002,5815.140137,5755.879883,5805.25
2005/4/27,5806.689941,5817.919922,5777.410156,5778.27002
2005/4/28,5775.25,5842.27002,5755.080078,5842.27002
2005/4/29,5810.339844,5818.069824,5780.970215,5818.069824
2005/5/3,5845.140137,5865.899902,5818.220215,5818.220215
2005/5/4,5827.740234,5831.02002,5793.25,5803.680176
2005/5/5,5851.5,5957.870117,5851.5,5927.5
2005/5/6,5932.040039,5974.859863,5917.02002,5967.959961
2005/5/9,5957.919922,5973.600098,5950.629883,5966.850098
2005/5/10,5973.370117,5976.830078,5939.47998,5949.799805
2005/5/11,5900.720215,5925.02002,5900.720215,5917.129883
2005/5/12,5917.990234,5934.600098,5906.370117,5934.600098
2005/5/13,5931.529785,6001.189941,5925.669922,5981.47998
2005/5/16,5992.310059,5997.77002,5925.879883,5925.879883
2005/5/17,5939.310059,5943.919922,5879.189941,5894.009766
2005/5/18,5901.080078,5921.169922,5889.470215,5890.830078
2005/5/19,5963.899902,5997.759766,5958.339844,5970.709961
2005/5/20,5987.100098,5996.109863,5954.689941,5954.689941
2005/5/23,5953.279785,5953.279785,5884.060059,5885.450195
2005/5/24,5888.850098,5925.879883,5888.850098,5909.100098
2005/5/25,5921.589844,5956.640137,5879.080078,5888.529785
2005/5/26,5903.009766,5939.419922,5883.180176,5939.419922
2005/5/27,5966.410156,5998.779785,5966.410156,5991.549805
2005/5/30,5996.890137,6009.52002,5971.970215,6009.52002
2005/5/31,5998.899902,6026.529785,5981.240234,6011.560059
2005/6/1,6002.549805,6023.339844,5962.879883,5971.620117
2005/6/2,6008.899902,6065.22998,6008.899902,6039.47998
2005/6/3,6062.779785,6113.490234,6051.27002,6107.950195
2005/6/6,6109.299805,6140.740234,6086.410156,6137.569824
2005/6/7,6144.25,6146.939941,6096.839844,6105.790039
2005/6/8,6121.339844,6170.470215,6121.209961,6161.660156
2005/6/9,6172.370117,6188.589844,6144.27002,6145.919922
2005/6/10,6188.100098,6198.299805,6158.129883,6192.350098
2005/6/13,6194.899902,6236.149902,6167.779785,6231.049805
2005/6/14,6244.560059,6266.25,6205.759766,6205.759766
2005/6/15,6219.799805,6252.100098,6215.72998,6252.100098
2005/6/16,6298.350098,6298.350098,6249,6282.410156
2005/6/17,6304.240234,6357.390137,6293.22998,6293.560059
2005/6/20,6311.669922,6315.290039,6272.970215,6296.890137
2005/6/21,6304.330078,6304.879883,6265.689941,6278.459961
2005/6/22,6291.910156,6381.22998,6291.910156,6357.830078
2005/6/23,6382.600098,6401.810059,6369.209961,6373.859863
2005/6/24,6350.740234,6363.879883,6324.220215,6340.689941
2005/6/27,6307.609863,6342.450195,6279.390137,6302.990234
2005/6/28,6303.660156,6323.100098,6294.180176,6316.839844
2005/6/29,6370.140137,6375.680176,6231.649902,6231.649902
2005/6/30,6278.75,6280.529785,6240.839844,6241.939941
2005/7/1,6240.080078,6275.47998,6195.169922,6272.140137
2005/7/4,6269.629883,6288.959961,6257.899902,6271.200195
2005/7/5,6269.779785,6279.200195,6232.040039,6232.040039
2005/7/6,6249.290039,6256.899902,6221.029785,6222.049805
2005/7/7,6219.459961,6221.589844,6180.580078,6212.600098
2005/7/8,6199.790039,6230.509766,6186.790039,6201.399902
2005/7/11,6255.399902,6305.609863,6249.410156,6298.859863
2005/7/12,6337.5,6365.759766,6337.5,6358.810059
2005/7/13,6360.600098,6406.990234,6352.209961,6377.089844
2005/7/14,6403.080078,6427.319824,6375.75,6418.350098
2005/7/15,6428.439941,6454.330078,6410.589844,6410.589844
2005/7/19,6403.709961,6432.580078,6387.859863,6416.339844
